frame,servo_angle,motor_speed
frame_00000.png,90.0,60
frame_00001.png,90.0,60
frame_00002.png,90.0,60
frame_00003.png,90.0,60
frame_00004.png,90.0,60
frame_00005.png,90.0,60
frame_00006.png,90.0,60
frame_00007.png,90.0,60
frame_00008.png,90.0,60
frame_00009.png,90.0,60
frame_00010.png,90.0,60
frame_00011.png,90.0,60
frame_00012.png,90.0,60
frame_00013.png,90.0,60
frame_00014.png,90.0,60
frame_00015.png,90.0,60
frame_00016.png,90.0,60
frame_00017.png,125,60
frame_00018.png,125,60
frame_00019.png,125,60
frame_00020.png,125,60
frame_00021.png,125,60
frame_00022.png,125,60
frame_00023.png,125,60
frame_00024.png,125,60
frame_00025.png,125,60
frame_00026.png,125,60
frame_00027.png,125,60
frame_00028.png,125,60
frame_00029.png,125,60
frame_00030.png,125,60
frame_00031.png,125,60
frame_00032.png,125,60
frame_00033.png,125,60
frame_00034.png,90.0,60
frame_00035.png,90.0,60
frame_00036.png,90.0,60
frame_00037.png,103.125,60
frame_00038.png,125,60
frame_00039.png,125,60
frame_00040.png,125,60
frame_00041.png,125,60
frame_00042.png,125,60
frame_00043.png,125,60
frame_00044.png,125,60
frame_00045.png,125,60
frame_00046.png,90.0,60
frame_00047.png,90.0,60
frame_00048.png,90.0,60
frame_00049.png,90.0,60
frame_00050.png,90.0,60
frame_00051.png,90.0,60
frame_00052.png,90.0,60
frame_00053.png,90.0,60
frame_00054.png,90.0,60
frame_00055.png,125,60
frame_00056.png,90.0,60
frame_00057.png,90.0,60
frame_00058.png,90.0,60
frame_00059.png,90.0,60
frame_00060.png,90.0,60
frame_00061.png,90.0,60
frame_00062.png,90.0,60
frame_00063.png,90.0,60
frame_00064.png,90.0,60
frame_00065.png,90.0,60
frame_00066.png,90.0,60
frame_00067.png,90.0,60
frame_00068.png,99.84375,60
frame_00069.png,125,60
frame_00070.png,125,60
frame_00071.png,125,60
frame_00072.png,125,60
frame_00073.png,125,60
frame_00074.png,125,60
frame_00075.png,109.6875,60
frame_00076.png,90.0,60
frame_00077.png,125,60
frame_00078.png,125,60
frame_00079.png,125,60
frame_00080.png,125,60
frame_00081.png,125,60
frame_00082.png,90.0,60
frame_00083.png,90.0,60
frame_00084.png,90.0,60
frame_00085.png,90.0,60
frame_00086.png,125,60
frame_00087.png,125,60
frame_00088.png,125,60
frame_00089.png,125,60
frame_00090.png,125,60
frame_00091.png,125,60
frame_00092.png,125,60
frame_00093.png,125,60
frame_00094.png,125,60
frame_00095.png,125,60
frame_00096.png,125,60
frame_00097.png,90.0,60
frame_00098.png,90.0,60
frame_00099.png,90.0,60
frame_00100.png,90.0,60
frame_00101.png,125,60
frame_00102.png,125,60
frame_00103.png,90.0,60
frame_00104.png,90.0,60
frame_00105.png,90.0,60
frame_00106.png,90.0,60
frame_00107.png,90.0,60
frame_00108.png,90.0,60
frame_00109.png,90.0,60
frame_00110.png,90.0,60
frame_00111.png,90.0,60
frame_00112.png,90.0,60
frame_00113.png,90.0,60
frame_00114.png,90.0,60
frame_00115.png,90.0,60
frame_00116.png,90.0,60
frame_00117.png,125,60
frame_00118.png,125,60
frame_00119.png,125,60
frame_00120.png,125,60
frame_00121.png,90.0,60
frame_00122.png,90.0,60
frame_00123.png,125,60
frame_00124.png,125,60
frame_00125.png,125,60
frame_00126.png,125,60
frame_00127.png,125,60
frame_00128.png,125,60
frame_00129.png,125,60
frame_00130.png,90.0,60
frame_00131.png,90.0,60
frame_00132.png,115.9765625,60
frame_00133.png,124.453125,60
frame_00134.png,124.453125,60
frame_00135.png,124.453125,60
frame_00136.png,124.453125,60
frame_00137.png,124.453125,60
frame_00138.png,124.453125,60
frame_00139.png,124.453125,60
frame_00140.png,124.453125,60
frame_00141.png,124.453125,60
frame_00142.png,124.453125,60
frame_00143.png,90.0,60
frame_00144.png,90.0,60
frame_00145.png,90.0,60
frame_00146.png,90.0,60
frame_00147.png,90.0,60
frame_00148.png,125,60
frame_00149.png,90.0,60
frame_00150.png,90.0,60
frame_00151.png,90.0,60
frame_00152.png,90.0,60
frame_00153.png,125,60
frame_00154.png,125,60
frame_00155.png,90.0,60
frame_00156.png,90.0,60
frame_00157.png,90.0,60
frame_00158.png,90.0,60
frame_00159.png,90.0,60
frame_00160.png,90.0,60
frame_00161.png,122.265625,60
frame_00162.png,125,60
frame_00163.png,125,60
frame_00164.png,125,60
frame_00165.png,90.0,60
frame_00166.png,90.0,60
frame_00167.png,90.0,60
frame_00168.png,90.0,60
frame_00169.png,90.0,60
frame_00170.png,90.0,60
frame_00171.png,90.0,60
frame_00172.png,124.7265625,60
frame_00173.png,124.7265625,60
frame_00174.png,125,60
frame_00175.png,125,60
frame_00176.png,125,60
frame_00177.png,125,60
frame_00178.png,125,60
frame_00179.png,125,60
frame_00180.png,125,60
frame_00181.png,124.7265625,60
frame_00182.png,125,60
frame_00183.png,125,60
frame_00184.png,104.765625,60
frame_00185.png,90.0,60
frame_00186.png,90.0,60
frame_00187.png,90.0,60
frame_00188.png,125,60
frame_00189.png,125,60
frame_00190.png,125,60
frame_00191.png,125,60
frame_00192.png,125,60
frame_00193.png,125,60
frame_00194.png,125,60
frame_00195.png,125,60
frame_00196.png,125,60
frame_00197.png,90.0,60
frame_00198.png,90.0,60
frame_00199.png,90.0,60
frame_00200.png,90.0,60
frame_00201.png,90.0,60
frame_00202.png,90.0,60
frame_00203.png,90.0,60
frame_00204.png,90.0,60
frame_00205.png,58.28125,60
frame_00206.png,55.001068115234375,60
frame_00207.png,90.0,60
frame_00208.png,90.0,60
frame_00209.png,90.0,60
frame_00210.png,90.0,60
frame_00211.png,90.0,60
frame_00212.png,90.0,60
frame_00213.png,125,60
frame_00214.png,125,60
frame_00215.png,125,60
frame_00216.png,125,60
frame_00217.png,125,60
frame_00218.png,125,60
