frame,servo_angle,speed
0,180,0
1,180,0
2,180,0
3,180,0
4,180,0
5,180,0
6,180,0
7,180,0
8,180,0
9,180,0
10,180,0
11,180,0
12,180,0
13,180,0
14,180,0
15,180,100
16,180,100
17,180,100
18,180,100
19,180,100
20,180,100
21,174.35302734375,100
22,170.1177978515625,100
23,168.00018310546875,100
24,166.58843994140625,100
25,166.58843994140625,100
26,166.58843994140625,100
27,166.58843994140625,100
28,166.58843994140625,100
29,166.58843994140625,100
30,166.58843994140625,100
31,166.58843994140625,100
32,165.882568359375,100
33,164.4708251953125,100
34,160.235595703125,100
35,158.11798095703125,100
36,156.0003662109375,100
37,153.88275146484375,100
38,150.3533935546875,100
39,147.5299072265625,100
40,145.41229248046875,100
41,144.7064208984375,100
42,144.7064208984375,100
43,144.7064208984375,100
44,144.7064208984375,100
45,144.7064208984375,100
46,144.7064208984375,100
47,144.7064208984375,100
48,144.7064208984375,100
49,144.00054931640625,100
50,143.294677734375,100
51,142.58880615234375,100
52,142.58880615234375,100
53,141.8829345703125,100
54,141.17706298828125,100
55,141.8829345703125,100
56,141.8829345703125,100
57,141.8829345703125,100
58,141.8829345703125,100
59,141.8829345703125,100
60,140.47119140625,100
61,138.35357666015625,100
62,134.82421875,100
63,129.17724609375,100
64,127.05963134765625,100
65,122.82440185546875,100
66,120.00091552734375,100
67,116.4715576171875,100
68,115.059814453125,100
69,108.70697021484375,100
70,105.1776123046875,100
71,100.9423828125,100
72,96.7071533203125,100
73,93.17779541015625,100
74,91.0601806640625,100
75,89.6484375,100
76,89.6484375,100
77,89.6484375,100
78,89.6484375,100
79,89.6484375,100
80,89.6484375,100
81,89.6484375,100
82,91.0601806640625,100
83,120.706787109375,100
84,132.000732421875,100
85,147.5299072265625,100
86,163.76495361328125,100
87,180,100
88,180,100
89,180,100
90,180,100
91,180,100
92,180,100
93,180,100
94,180,100
95,180,100
96,180,100
97,180,100
98,180,100
99,180,100
100,180,100
101,180,100
102,180,100
103,180,100
104,180,100
105,180,100
106,180,100
107,180,100
108,180,100
109,180,100
110,180,100
111,180,100
112,180,100
113,180,100
114,174.35302734375,100
115,158.8238525390625,100
116,139.0594482421875,100
117,127.7655029296875,100
118,111.53045654296875,100
119,89.6484375,100
120,89.6484375,100
121,89.6484375,100
122,89.6484375,100
123,89.6484375,100
124,89.6484375,100
125,89.6484375,100
126,89.6484375,100
127,89.6484375,100
128,89.6484375,100
129,89.6484375,100
130,89.6484375,100
131,89.6484375,100
132,89.6484375,100
133,89.6484375,100
134,89.6484375,100
135,89.6484375,100
136,89.6484375,100
137,89.6484375,100
138,89.6484375,100
139,89.6484375,100
140,89.6484375,100
141,89.6484375,100
142,89.6484375,100
143,89.6484375,100
144,89.6484375,100
145,89.6484375,100
146,89.6484375,100
147,89.6484375,100
148,89.6484375,100
149,89.6484375,100
150,89.6484375,100
151,89.6484375,100
152,91.76605224609375,100
153,117.17742919921875,100
154,155.29449462890625,100
155,180,100
156,180,100
157,180,100
158,180,100
159,180,100
160,180,100
161,89.6484375,100
162,89.6484375,100
163,89.6484375,100
164,89.6484375,100
165,89.6484375,100
166,89.6484375,100
167,89.6484375,100
168,89.6484375,100
169,89.6484375,100
170,89.6484375,100
171,89.6484375,100
172,89.6484375,100
173,89.6484375,100
174,89.6484375,100
175,89.6484375,100
176,108.0010986328125,100
