frame,servo_angle,speed
0,180,0
1,180,0
2,180,0
3,180,0
4,180,0
5,180,0
6,180,0
7,180,0
8,180,0
9,180,0
10,180,0
11,180,100
12,180,100
13,180,100
14,180,100
15,180,100
16,180,100
17,180,100
18,180,100
19,180,100
20,180,100
21,178.5882568359375,100
22,176.47064208984375,100
23,175.05889892578125,100
24,172.23541259765625,100
25,167.2943115234375,100
26,165.17669677734375,100
27,162.35321044921875,100
28,160.94146728515625,100
29,158.8238525390625,100
30,156.70623779296875,100
31,153.88275146484375,100
32,151.76513671875,100
33,151.05926513671875,100
34,149.64752197265625,100
35,148.23577880859375,100
36,147.5299072265625,100
37,146.82403564453125,100
38,146.82403564453125,100
39,146.82403564453125,100
40,147.5299072265625,100
41,147.5299072265625,100
42,147.5299072265625,100
43,148.23577880859375,100
44,148.23577880859375,100
45,148.941650390625,100
46,149.64752197265625,100
47,149.64752197265625,100
48,149.64752197265625,100
49,149.64752197265625,100
50,149.64752197265625,100
51,149.64752197265625,100
52,149.64752197265625,100
53,148.941650390625,100
54,147.5299072265625,100
55,143.294677734375,100
56,137.647705078125,100
57,128.47137451171875,100
58,120.00091552734375,100
59,115.76568603515625,100
60,108.0010986328125,100
61,97.41302490234375,100
62,89.6484375,100
63,89.6484375,100
64,74.82513427734375,100
65,62.11944580078125,100
66,51.5313720703125,100
67,41.649169921875,100
68,40.94329833984375,100
69,40.94329833984375,100
70,40.94329833984375,100
71,40.94329833984375,100
72,43.0609130859375,100
73,48.7078857421875,100
74,71.2957763671875,100
75,89.6484375,100
76,89.6484375,100
77,89.6484375,100
78,89.6484375,100
79,89.6484375,100
80,89.6484375,100
81,129.17724609375,100
82,179.29412841796875,100
83,180,100
84,180,100
85,180,100
86,180,100
87,180,100
88,180,100
89,180,100
90,180,100
91,180,100
92,180,100
93,180,100
94,180,100
95,180,100
96,180,100
97,180,100
98,180,100
99,180,100
100,180,100
101,180,100
102,180,100
103,156.70623779296875,100
104,154.588623046875,100
105,154.588623046875,100
106,155.29449462890625,100
107,159.52972412109375,100
108,161.6473388671875,100
109,167.2943115234375,100
110,168.00018310546875,100
111,168.00018310546875,100
112,168.00018310546875,100
113,166.58843994140625,100
114,89.6484375,100
115,89.6484375,100
116,89.6484375,100
117,89.6484375,100
118,89.6484375,100
119,89.6484375,100
120,89.6484375,100
121,89.6484375,100
122,89.6484375,100
123,89.6484375,100
124,89.6484375,100
125,89.6484375,100
126,89.6484375,100
127,89.6484375,100
128,89.6484375,100
129,89.6484375,100
130,89.6484375,100
131,89.6484375,100
132,89.6484375,100
133,89.6484375,100
134,89.6484375,100
135,91.0601806640625,100
136,99.5306396484375,100
137,110.11871337890625,100
138,115.059814453125,100
139,117.17742919921875,100
140,117.17742919921875,100
141,115.76568603515625,100
142,110.8245849609375,100
143,89.6484375,100
144,89.6484375,100
145,89.6484375,100
146,89.6484375,100
147,89.6484375,100
148,89.6484375,100
149,89.6484375,100
150,89.6484375,100
151,89.6484375,100
152,89.6484375,100
153,89.6484375,100
154,89.6484375,100
155,89.6484375,100
156,89.6484375,100
157,89.6484375,100
158,89.6484375,100
159,89.6484375,100
160,89.6484375,100
161,89.6484375,100
162,89.6484375,100
163,89.6484375,100
164,92.471923828125,100
165,115.76568603515625,100
166,146.1181640625,100
167,172.9412841796875,100
168,180,100
169,180,100
170,180,100
171,89.6484375,100
