frame,servo_angle,speed
0,180,0
1,180,0
2,180,0
3,180,0
4,180,0
5,180,0
6,180,0
7,180,0
8,180,0
9,180,0
10,180,0
11,180,0
12,180,0
13,180,0
14,180,0
15,180,100
16,180,100
17,171.529541015625,100
18,147.5299072265625,100
19,145.41229248046875,100
20,141.17706298828125,100
21,136.94183349609375,100
22,133.4124755859375,100
23,129.88311767578125,100
24,127.7655029296875,100
25,125.64788818359375,100
26,120.706787109375,100
27,120.706787109375,100
28,119.2950439453125,100
29,119.2950439453125,100
30,119.2950439453125,100
31,118.58917236328125,100
32,116.4715576171875,100
33,115.76568603515625,100
34,112.236328125,100
35,110.8245849609375,100
36,108.70697021484375,100
37,105.88348388671875,100
38,101.64825439453125,100
39,98.82476806640625,100
40,96.7071533203125,100
41,93.8836669921875,100
42,91.76605224609375,100
43,89.6484375,100
44,89.6484375,100
45,89.6484375,100
46,90.35430908203125,100
47,103.765869140625,100
48,117.17742919921875,100
49,129.17724609375,100
50,146.82403564453125,100
51,180,100
52,180,100
53,180,100
54,180,100
55,180,100
56,180,100
57,180,100
58,180,100
59,180,100
60,180,100
61,180,100
62,180,100
63,180,100
64,180,100
65,180,100
66,180,100
67,180,100
68,180,100
69,180,100
70,180,100
71,180,100
72,180,100
73,180,100
74,180,100
75,180,100
76,180,100
77,180,100
78,180,100
79,180,100
80,180,100
81,180,100
82,180,100
83,180,100
84,180,100
85,168.7060546875,100
86,146.82403564453125,100
87,89.6484375,100
88,89.6484375,100
89,89.6484375,100
90,89.6484375,100
91,89.6484375,100
92,89.6484375,100
93,89.6484375,100
94,89.6484375,100
95,89.6484375,100
96,89.6484375,100
97,101.64825439453125,100
98,141.17706298828125,100
99,180,100
100,180,100
101,180,100
102,180,100
103,180,100
104,180,100
105,180,100
106,180,100
107,45.8843994140625,100
108,89.6484375,100
109,89.6484375,100
110,89.6484375,100
111,89.6484375,100
112,89.6484375,100
113,89.6484375,100
114,89.6484375,100
115,89.6484375,100
116,89.6484375,100
117,89.6484375,100
118,89.6484375,100
119,89.6484375,100
120,89.6484375,100
121,89.6484375,100
122,89.6484375,100
123,89.6484375,100
124,89.6484375,100
125,89.6484375,100
126,89.6484375,100
127,89.6484375,100
128,89.6484375,100
129,89.6484375,100
130,89.6484375,100
131,89.6484375,100
132,90.35430908203125,100
133,131.29486083984375,100
134,180,100
135,180,100
136,180,100
137,180,100
138,180,100
139,180,100
140,180,100
141,180,100
142,180,100
143,180,100
144,180,100
145,180,100
146,180,100
147,180,100
148,180,100
149,156.0003662109375,100
150,127.7655029296875,100
151,89.6484375,100
152,89.6484375,100
153,89.6484375,100
154,89.6484375,100
155,89.6484375,100
156,89.6484375,100
157,89.6484375,100
158,89.6484375,100
159,89.6484375,100
160,89.6484375,100
161,89.6484375,100
162,89.6484375,100
163,89.6484375,100
164,89.6484375,100
165,89.6484375,100
166,89.6484375,100
167,89.6484375,100
168,89.6484375,100
169,89.6484375,100
170,93.17779541015625,100
171,134.11834716796875,100
172,180,100
173,180,100
174,180,100
175,180,100
176,180,100
177,27.53173828125,100
178,89.6484375,100
179,89.6484375,100
180,89.6484375,100
181,89.6484375,100
182,89.6484375,100
183,89.6484375,100
184,89.6484375,100
185,89.6484375,100
186,89.6484375,100
187,89.6484375,100
188,89.6484375,100
189,89.6484375,100
190,89.6484375,100
191,89.6484375,100
